Year,Award,Winner,Name,Film,POC
1934,Actor,1,Clark Gable,It Happened One Night,0
1934,Actor,,Frank Morgan,The Affairs of Cellini,0
1934,Actor,,William Powell,The Thin Man,0
1934,Actress,1,Claudette Colbert,It Happened One Night,0
1934,Actress,,Bette Davis,Of Human Bondage,0
1934,Actress,,Grace Moore,One Night of Love,0
1934,Actress,,Norma Shearer,The Barretts of Wimpole Street,0
1935,Actor,,Clark Gable,Mutiny on the Bounty,0
1935,Actor,,Charles Laughton,Mutiny on the Bounty,0
1935,Actor,1,Victor McLaglen,The Informer,0
1935,Actor,,Paul Muni,Black Fury,0
1935,Actor,,Franchot Tone,Mutiny on the Bounty,0
1935,Actress,,Elisabeth Bergner,Escape Me Never,0
1935,Actress,,Claudette Colbert,Private Worlds,0
1935,Actress,1,Bette Davis,Dangerous,0
1935,Actress,,Katharine Hepburn,Alice Adams,0
1935,Actress,,Miriam Hopkins,Becky Sharp,0
1935,Actress,,Merle Oberon,The Dark Angel,1
1936,Actor,,Gary Cooper,Mr. Deeds Goes to Town,0
1936,Actor,,Walter Huston,Dodsworth,0
1936,Actor,1,Paul Muni,The Story of Louis Pasteur,0
1936,Actor,,William Powell,My Man Godfrey,0
1936,Actor,,Spencer Tracy,San Francisco,0
1936,Actor in a Supporting Role,,Mischa Auer,My Man Godfrey,0
1936,Actor in a Supporting Role,1,Walter Brennan,Come and Get It,0
1936,Actor in a Supporting Role,,Stuart Erwin,Pigskin Parade,0
1936,Actor in a Supporting Role,,Basil Rathbone,Romeo and Juliet,0
1936,Actor in a Supporting Role,,Akim Tamiroff,The General Died at Dawn,0
1936,Actress,,Irene Dunne,Theodora Goes Wild,0
1936,Actress,,Gladys George,Valiant Is the Word for Carrie,0
1936,Actress,,Carole Lombard,My Man Godfrey,0
1936,Actress,1,Luise Rainer,The Great Ziegfeld,0
1936,Actress,,Norma Shearer,Romeo and Juliet,0
1936,Actress in a Supporting Role,,Beulah Bondi,The Gorgeous Hussy,0
1936,Actress in a Supporting Role,,Alice Brady,My Man Godfrey,0
1936,Actress in a Supporting Role,,Bonita Granville,These Three,0
1936,Actress in a Supporting Role,,Maria Ouspenskaya,Dodsworth,0
1936,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse,0
1937,Actor,,Charles Boyer,Conquest,0
1937,Actor,,Fredric March,A Star Is Born,0
