Question Code,Question Readable
Racfew,Children to school with opposite race
Rachaf,Children to school half opposite race
Racmost,Children to school mostly opposite race
Affrmact,Favor preference in hiring blacks
Racdif1,Differences due to discrimination
Racdif2,Differences due to inborn disability
Racdif3,Differences due to lack of education
Racdif4,Differences due to lack of will
Racopen,Vote on open housing law
Racseg,Whites have right to seg. neighborhood
Liveblks,Neighborhood half black
Sppolice,Govt spending on law enforcement
Polabuse,Citizen said vulgar or obscene things
Polhitok,Ever approve of police striking citizen
Polmurdr,Citizen questioned as murder suspect
Natfare,Spending too much on welfare
Natrace,Improving the conditions of blacks
Helpblk,Should govt aid blacks?
Wrkwayup,Blacks overcome prejudice without favors
