"Question Code","Category","Question Label","Question Readable","Year","Percent Response","Mean Response Per Question"
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",1994,0.892080069625762,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",1996,0.889641164522681,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",1998,0.892206846321923,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2000,0.866372980910426,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2002,0.899856938483548,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2004,0.885386819484241,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2006,0.886103151862464,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2008,0.875514403292181,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2010,0.867517173699706,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2012,0.849462365591398,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2014,0.866777685262281,0.873564064801178
"Affrmact","Employment","Question 1","Favor preference in hiring blacks",2016,0.81978527607362,0.873564064801178
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1975,0.577311577311577,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1983,0.606774668630339,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1984,0.548359966358284,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1986,0.586688578471652,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1987,0.552453468697124,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1988,0.588162762022195,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1989,0.581668625146886,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1990,0.504512635379061,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1991,0.536107711138311,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1993,0.551282051282051,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1994,0.610117211597779,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1996,0.598420013166557,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",1998,0.566689702833449,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2000,0.540502793296089,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2002,0.579608938547486,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2004,0.57841726618705,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2006,0.563994374120956,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2008,0.564405113077679,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2010,0.599802371541502,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2012,0.602308499475341,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2014,0.578125,0.569016328156113
"Helpblk","Welfare","Question 3","Should govt aid blacks?",2016,0.5,0.569016328156113
"Liveblks","Housing","Question 3","Neighborhood half black",1990,0.475352112676056,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",1996,0.310526315789474,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",1998,0.330595482546201,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2000,0.305132543711224,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2002,0.275280898876405,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2004,0.223922114047288,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2006,0.238493723849372,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2008,0.211576846307385,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2010,0.210724365004704,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2012,0.20746887966805,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2014,0.19935691318328,0.265635310506635
"Liveblks","Housing","Question 3","Neighborhood half black",2016,0.175054704595186,0.265635310506635
"Natfare","Welfare","Question 1","Spending too much on welfare",1973,0.590872698158527,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1974,0.4688,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1975,0.491157556270096,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1976,0.647194465795542,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1977,0.671372549019608,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1978,0.649310872894334,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1980,0.619236883942766,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1982,0.540157480314961,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1983,0.509948415622697,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1984,0.431077694235589,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1985,0.497637795275591,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1986,0.44633730834753,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1987,0.49740932642487,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1988,0.463587921847247,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1989,0.460547504025765,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1990,0.421348314606742,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1991,0.417376490630324,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1993,0.585826771653543,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1994,0.665008291873963,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1996,0.637096774193548,0.522745014548293
"Natfare","Welfare","Question 1","Spending too much on welfare",1998,0.479582146248813,0.522745014548293
